,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
239,lavrentiya,-171.0,65.5833,27.932000000000016,27.932000000000016,70,35,2.17,RU,1619747171
240,maihar,80.75,24.2667,92.55200000000006,92.55200000000006,8,2,1.04,IN,1619747172
241,hasanpur,78.2833,28.7167,87.31400000000002,87.31400000000002,24,18,2.35,IN,1619747172
242,san cristobal,-72.225,7.7669,75.2,75.2,100,75,1.54,VE,1619746985
243,the valley,-63.0578,18.217,78.584,78.99800000000002,73,40,5.14,AI,1619747064
244,alexandria,29.9553,31.2156,66.2,66.2,77,0,1.54,EG,1619747049
245,oriximina,-55.8661,-1.7656,75.16400000000003,75.16400000000003,91,96,0.7,BR,1619747174
246,majene,118.9707,-3.5403,85.15400000000005,85.15400000000005,68,14,2.49,ID,1619747175
247,ushibuka,130.0228,32.1906,66.23600000000008,66.23600000000008,81,68,9.16,JP,1619747176
248,oussouye,-16.5469,12.485,73.22000000000006,73.22000000000006,65,63,4.66,SN,1619747176
249,christchurch,172.6333,-43.5333,68.97200000000004,69.80000000000001,40,100,2.06,NZ,1619746677
250,severnyy,36.5532,50.677,46.4,46.4,49,0,4.0,RU,1619747177
251,zyryanovsk,84.2719,49.7386,61.34000000000002,61.34000000000002,54,100,0.46,KZ,1619747178
252,hudiksvall,17.1036,61.729,31.333999999999993,31.333999999999993,69,0,2.95,SE,1619747179
253,alofi,-169.9187,-19.0595,84.2,84.2,79,75,2.06,NU,1619747044
254,izvor,21.5783,42.2039,57.61400000000003,57.992,94,40,1.03,MK,1619747180
255,nelidovo,32.7774,56.2211,41.522000000000034,41.522000000000034,89,100,2.82,RU,1619747181
256,quatre cocos,57.7625,-20.2078,75.39800000000002,77.0,83,75,3.6,MU,1619747062
257,petropavlovsk-kamchatskiy,158.6483,53.0452,48.2,48.2,57,45,3.0,RU,1619746959
258,new norfolk,147.0587,-42.7826,63.33800000000005,66.0020000000001,72,20,4.12,AU,1619746960
